Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,64.680000,66.360001,63.639999,63.830002,63.830002,15261032
2021-04-05,64.139999,64.339996,61.810001,64.239998,64.239998,15502130
2021-04-06,64.669998,67.650002,64.300003,67.000000,67.000000,15587872
2021-04-07,66.639999,69.970001,66.080002,68.989998,68.989998,23964608
2021-04-08,69.910004,71.449997,69.279999,71.220001,71.220001,16843412
2021-04-09,70.349998,71.449997,69.910004,71.190002,71.190002,15659504
2021-04-12,70.870003,71.839996,69.650002,70.860001,70.860001,9495153
2021-04-13,71.720001,72.779999,70.730003,72.449997,72.449997,9991652
2021-04-14,72.510002,73.218002,69.500000,69.739998,69.739998,12931247
2021-04-15,70.550003,71.879997,70.169998,71.709999,71.709999,11108264
2021-04-16,71.970001,72.199997,69.680000,70.120003,70.120003,9429919
2021-04-19,69.620003,69.919800,66.769997,67.940002,67.940002,18198645
2021-04-20,68.010002,68.099998,65.220001,65.699997,65.699997,14171183
2021-04-21,65.730003,67.359901,64.699997,67.330002,67.330002,11817294
2021-04-22,67.419998,67.499397,64.080002,64.309998,64.309998,16804056
2021-04-23,65.720001,67.129997,65.430000,67.019997,67.019997,12416087
2021-04-26,66.489998,67.245003,65.851799,66.720001,66.720001,11769770
2021-04-27,67.139999,68.360001,66.000000,66.010002,66.010002,10827047
2021-04-28,65.550003,66.557503,63.742500,65.699997,65.699997,13340301
2021-04-29,67.010002,67.050003,63.985001,65.089996,65.089996,31017677
2021-04-30,56.000000,57.630001,55.049999,55.220001,55.220001,88378799
2021-05-03,55.520000,55.549999,52.669998,54.580002,54.580002,79648970
2021-05-04,55.070000,55.720001,53.160000,54.400002,54.400002,30404484
2021-05-05,54.950001,54.639999,53.349998,53.560001,53.560001,11549679
2021-05-06,53.480000,53.840000,52.340000,53.810001,53.810001,19586930
2021-05-07,54.770000,54.919998,53.369999,53.790001,53.790001,21748560
2021-05-10,53.009998,53.080002,51.619999,51.810001,51.810001,17362305
2021-05-11,49.520000,53.186501,49.200001,52.880001,52.880001,16749949
2021-05-12,51.869999,52.380001,50.060001,50.700001,50.700001,17223215
2021-05-13,51.674999,51.770000,49.115002,50.110001,50.110001,14303880
2021-05-14,50.610001,51.915001,50.189999,51.730000,51.730000,9836820
2021-05-17,52.230000,52.730000,51.275002,52.599998,52.599998,21351655
2021-05-18,52.599998,55.150002,52.419998,53.189999,53.189999,23612297
2021-05-19,52.189999,53.160000,51.669998,52.919998,52.919998,21551253
2021-05-20,53.230000,54.910000,53.220001,54.709999,54.709999,12612695
2021-05-21,55.000000,55.000000,53.939999,54.450001,54.450001,12583397
2021-05-24,54.900002,57.330002,54.660000,57.060001,57.060001,25656381
2021-05-25,57.349998,57.639999,56.540001,57.000000,57.000000,13488918
2021-05-26,57.365002,58.614201,57.310001,57.849998,57.849998,15984388
2021-05-27,57.639999,58.294998,57.030998,58.080002,58.080002,9113856
2021-05-28,58.200001,58.560001,57.830002,58.000000,58.000000,8752685
2021-06-01,58.200001,58.200001,56.270000,57.439999,57.439999,13122739
2021-06-02,57.279999,57.639999,56.320000,57.160000,57.160000,9472925
2021-06-03,56.959999,58.669998,55.830002,57.009998,57.009998,21985673
2021-06-04,57.410000,59.299999,57.320000,59.000000,59.000000,12256132
2021-06-07,58.619999,59.825001,57.720001,59.630001,59.630001,10538555
2021-06-08,59.790001,60.089500,57.820000,58.810001,58.810001,12772928
2021-06-09,59.590000,61.049999,59.410000,59.709999,59.709999,16163559
2021-06-10,59.799999,60.380001,58.740002,60.299999,60.299999,8717489
2021-06-11,59.950001,60.629700,59.869999,60.500000,60.500000,6980424
2021-06-14,60.849998,61.549999,60.450001,60.830002,60.830002,9316553
2021-06-15,61.090000,61.318298,60.189999,60.230000,60.230000,9579902
2021-06-16,60.119999,61.150002,59.150002,59.930000,59.930000,9336461
2021-06-17,59.610001,61.622101,59.529999,60.709999,60.709999,10201253
2021-06-18,60.200001,60.970001,59.525002,60.849998,60.849998,13272992
2021-06-21,60.849998,62.090000,59.740002,61.959999,61.959999,12027146
2021-06-22,61.919998,64.050003,61.910000,63.779999,63.779999,16686235
2021-06-23,63.910000,66.769997,63.790001,66.489998,66.489998,18547983
2021-06-24,66.750000,68.739998,66.750000,68.250000,68.250000,23144774
2021-06-25,68.290001,68.919998,67.279999,67.930000,67.930000,13896866
2021-06-28,68.160004,68.628403,67.074997,68.290001,68.290001,11176106
2021-06-29,68.279999,69.379997,67.930000,69.000000,69.000000,9526441
2021-06-30,68.760002,69.119904,68.250000,68.809998,68.809998,9752947
2021-07-01,68.570000,70.000000,67.370003,68.110001,68.110001,9988136
2021-07-02,68.709999,69.290001,68.430000,69.199997,69.199997,8098529
2021-07-06,69.349998,70.930000,69.230003,70.209999,70.209999,12317415
2021-07-07,70.629997,70.849998,68.709999,68.760002,68.760002,10609322
2021-07-08,67.000000,67.605003,66.239998,66.830002,66.830002,12782464
2021-07-09,67.070000,69.010002,66.980003,68.970001,68.970001,14393749
2021-07-12,69.459999,70.436996,68.800003,69.860001,69.860001,9223642
2021-07-13,69.540001,70.869904,69.260002,69.599998,69.599998,9992695
2021-07-14,70.419998,72.070000,70.089996,70.269997,70.269997,21555863
2021-07-15,70.099998,70.160004,67.410103,68.070000,68.070000,14933775
2021-07-16,68.559998,69.279999,66.139999,66.410004,66.410004,14271096
2021-07-19,65.239998,66.730003,64.650002,66.019997,66.019997,15830105
2021-07-20,66.250000,68.540001,65.820000,67.940002,67.940002,11583922
2021-07-21,67.589996,69.769997,67.550003,69.540001,69.540001,10082850
2021-07-22,68.639999,70.129997,68.510300,69.570000,69.570000,24130380
2021-07-23,72.199997,73.339996,69.879997,71.690002,71.690002,44275797
2021-07-26,71.250000,71.250000,67.474998,68.690002,68.690002,29185119
2021-07-27,68.320000,69.480003,66.860001,68.330002,68.330002,16988334
2021-07-28,68.389999,71.919998,67.760002,69.959999,69.959999,23203601
2021-07-29,69.500000,71.589996,69.500000,70.370003,70.370003,11629950
2021-07-30,69.830002,71.129799,69.500000,69.750000,69.750000,13220524
2021-08-02,70.230003,70.440002,68.660004,69.129997,69.129997,12040813
2021-08-03,69.870003,70.959999,68.080002,68.629997,68.629997,9221355
2021-08-04,68.680000,69.080002,67.904999,68.699997,68.699997,7578368
2021-08-05,68.849998,69.449997,68.080002,69.279999,69.279999,8634574
2021-08-06,69.300003,69.809998,66.875000,67.370003,67.370003,11458073
2021-08-09,67.500000,67.519997,66.449997,67.010002,67.010002,7938295
2021-08-10,67.199997,67.370003,65.570000,65.680000,65.680000,8995701
2021-08-11,65.790001,66.334999,64.629997,65.459999,65.459999,8630505
2021-08-12,64.809998,65.279900,64.059998,64.949997,64.949997,7961057
2021-08-13,64.989998,65.769997,64.614998,64.820000,64.820000,6083957
2021-08-16,64.339996,64.940002,62.805000,63.779999,63.779999,11993858
2021-08-17,63.340000,63.840000,62.355000,62.880001,62.880001,6950259
2021-08-18,62.849998,63.310001,62.070000,62.119999,62.119999,6890963
2021-08-19,61.590000,63.189999,61.500000,62.049999,62.049999,8508145
2021-08-20,62.130001,63.169998,61.990002,62.520000,62.520000,8596261
2021-08-23,63.200001,64.555000,63.060001,64.129997,64.129997,9962350
2021-08-24,64.839996,65.059998,63.919998,63.980000,63.980000,6133879
2021-08-25,63.950001,64.309998,63.200001,64.169998,64.169998,5470229
2021-08-26,63.959999,64.250000,62.529999,62.610001,62.610001,6379518
2021-08-27,62.720001,63.720001,62.490002,63.430000,63.430000,6332555
2021-08-30,63.695000,65.050003,63.450001,64.699997,64.699997,8071895
2021-08-31,64.519997,65.150002,64.160004,64.500000,64.500000,9157875
2021-09-01,64.650002,66.720001,64.650002,65.550003,65.550003,15284349
2021-09-02,65.970001,66.050003,64.414200,64.599998,64.599998,8591562
2021-09-03,64.430000,65.089996,63.849998,64.660004,64.660004,5061371
2021-09-07,64.709999,65.129997,64.150101,64.980003,64.980003,7149388
2021-09-08,64.934998,65.361504,62.080002,62.270000,62.270000,11767221
2021-09-09,62.360001,63.180000,62.240002,62.459999,62.459999,8168889
2021-09-10,62.950001,63.369999,61.470001,61.560001,61.560001,7032095
2021-09-13,61.299999,61.410000,58.449501,59.660000,59.660000,16851569
2021-09-14,60.064999,60.700001,59.490002,60.189999,60.189999,8240068
2021-09-15,60.099998,61.910000,59.639999,61.840000,61.840000,13074529
2021-09-16,61.529999,62.610001,60.930000,62.290001,62.290001,9918661
2021-09-17,62.099998,62.980000,61.650002,62.470001,62.470001,9813245
2021-09-20,61.150002,61.320000,59.840000,60.950001,60.950001,12194274
2021-09-21,61.509998,63.299999,61.509998,62.779999,62.779999,10400269
2021-09-22,62.049999,64.629997,61.259998,64.250000,64.250000,13052283
2021-09-23,64.790001,66.930000,64.040001,66.690002,66.690002,15123546
2021-09-24,66.089996,67.449997,65.459999,67.220001,67.220001,11035729
2021-09-27,66.610001,67.089996,65.220001,65.370003,65.370003,11264861
2021-09-28,64.360001,64.540001,62.160000,62.450001,62.450001,9866597
2021-09-29,62.939999,63.360001,60.009998,60.070000,60.070000,9256079
2021-09-30,60.375000,61.230000,59.860001,60.389999,60.389999,9372556
2021-10-01,60.805000,62.139999,60.560001,61.980000,61.980000,9728406
2021-10-04,61.040001,61.160000,57.639999,58.389999,58.389999,17381334
2021-10-05,59.209999,60.669998,58.820000,59.860001,59.860001,12006524
2021-10-06,58.950001,61.709999,58.790001,61.290001,61.290001,10648063
2021-10-07,62.195000,64.360001,62.150002,63.970001,63.970001,15010447
2021-10-08,64.250000,64.339996,63.310001,63.680000,63.680000,8098840
2021-10-11,62.990002,63.509998,62.070000,62.099998,62.099998,9020360
2021-10-12,61.680000,62.794998,60.790001,61.450001,61.450001,9952091
2021-10-13,61.959999,62.740002,61.509998,62.200001,62.200001,9431811
2021-10-14,63.009998,63.779999,62.753101,63.169998,63.169998,6815679
2021-10-15,63.240002,63.430698,62.290001,62.770000,62.770000,6693575
2021-10-18,62.689999,65.065002,62.669998,64.839996,64.839996,10359530
