iter	Passed	Remaining
698	55697	23984
699	55780	23905
700	55849	23821
701	55919	23737
702	55996	23657
703	56054	23568
704	56136	23489
705	56214	23409
706	56304	23334
707	56367	23247
708	56440	23165
709	56507	23080
710	56574	22995
711	56640	22910
712	56698	22822
713	56772	22740
714	56833	22653
715	56915	22575
716	56979	22489
717	57058	22410
718	57126	22326
719	57200	22244
720	57274	22163
721	57334	22076
722	57405	21993
723	57476	21911
724	57552	21830
725	57613	21743
726	57697	21666
727	57770	21584
728	57838	21501
729	57913	21420
730	57992	21340
731	58058	21256
732	58136	21176
733	58196	21090
734	58257	21004
735	58330	20922
736	58413	20844
737	58496	20766
738	58564	20683
739	58641	20603
740	58730	20527
741	58801	20445
742	58877	20365
743	58952	20284
744	59032	20205
745	59098	20122
746	59172	20040
747	59239	19957
748	59333	19883
749	59405	19801
750	59479	19721
751	59566	19644
752	59657	19569
753	59731	19487
754	59817	19411
755	59883	19327
756	59953	19245
757	60028	19164
758	60108	19085
759	60180	19004
760	60265	18926
761	60336	18845
762	60400	18761
763	60458	18675
764	60523	18592
765	60598	18511
766	60667	18429
767	60769	18357
768	60846	18277
769	60932	18200
770	61014	18122
771	61099	18044
772	61171	17963
773	61248	17883
774	61312	17800
775	61381	17718
776	61471	17642
777	61539	17560
778	61617	17480
779	61686	17398
780	61746	17314
781	61824	17234
782	61880	17149
783	61962	17071
784	62035	16990
785	62103	16908
786	62182	16829
787	62247	16746
788	62312	16664
789	62379	16581
790	62458	16503
791	62541	16424
792	62612	16344
793	62683	16262
794	62762	16183
795	62837	16103
796	62907	16022
797	62985	15943
798	63046	15860
799	63120	15780
800	63191	15699
801	63252	15615
802	63322	15534
803	63382	15451
804	63441	15367
805	63505	15285
806	63553	15199
807	63610	15115
808	63681	15034
809	63749	14953
810	63833	14876
811	63926	14800
812	63995	14719
813	64055	14636
814	64123	14555
815	64204	14477
816	64267	14395
817	64344	14316
818	64411	14234
819	64477	14153
820	64543	14072
821	64609	13990
822	64686	13911
823	64758	13831
824	64823	13750
825	64884	13668
826	64957	13588
827	65035	13509
828	65099	13428
829	65163	13346
830	65229	13265
831	65308	13187
832	65377	13106
833	65441	13025
834	65499	12942
835	65570	12863
836	65632	12781
837	65696	12700
838	65762	12619
839	65816	12536
840	65883	12455
841	65936	12372
842	65999	12291
843	66066	12211
844	66123	12129
845	66198	12050
846	66263	11969
847	66328	11889
848	66391	11808
849	66468	11729
850	66534	11649
851	66600	11569
852	66664	11488
853	66718	11406
854	66802	11329
855	66872	11249
856	66941	11169
857	67002	11089
858	67071	11009
859	67135	10928
860	67204	10849
861	67271	10769
862	67329	10688
863	67404	10610
864	67484	10532
865	67554	10453
866	67634	10375
867	67703	10295
868	67750	10213
869	67822	10134
870	67890	10054
871	67968	9976
872	68044	9898
873	68117	9820
874	68202	9743
875	68266	9663
876	68348	9585
877	68416	9506
878	68485	9427
879	68548	9347
880	68618	9268
881	68698	9190
882	68778	9113
883	68842	9033
884	68909	8954
885	68983	8876
886	69048	8796
887	69119	8717
888	69188	8638
889	69268	8561
890	69338	8482
891	69416	8404
892	69484	8325
893	69550	8246
894	69640	8170
895	69706	8090
896	69790	8013
897	69860	7935
898	69934	7856
899	70022	7780
900	70103	7702
901	70187	7625
902	70262	7547
903	70325	7468
904	70405	7390
905	70477	7312
906	70539	7232
907	70605	7153
908	70682	7076
909	70757	6998
910	70823	6919
911	70899	6841
912	70958	6761
913	71033	6683
914	71106	6605
915	71185	6527
916	71272	6451
917	71347	6373
918	71417	6294
919	71495	6216
920	71565	6138
921	71642	6060
922	71723	5983
923	71780	5904
924	71841	5824
925	71897	5745
926	71969	5667
927	72047	5589
928	72108	5510
929	72168	5432
930	72243	5354
931	72317	5276
932	72380	5197
933	72452	5119
934	72526	5041
935	72592	4963
936	72650	4884
937	72713	4806
938	72781	4728
939	72841	4649
940	72908	4571
941	72979	4493
942	73046	4415
943	73117	4337
944	73185	4259
945	73249	4181
946	73318	4103
947	73377	4024
948	73435	3946
949	73504	3868
950	73570	3790
951	73638	3712
952	73705	3635
953	73772	3557
954	73838	3479
955	73929	3402
956	74001	3325
957	74061	3246
958	74137	3169
959	74214	3092
960	74281	3014
961	74342	2936
962	74408	2858
963	74463	2780
964	74547	2703
965	74614	2626
966	74696	2549
967	74761	2471
968	74835	2394
969	74892	2316
970	74969	2239
971	75048	2161
972	75119	2084
973	75191	2007
974	75251	1929
975	75328	1852
976	75394	1774
977	75452	1697
978	75523	1620
979	75602	1542
980	75672	1465
981	75747	1388
982	75808	1311
983	75883	1233
984	75959	1156
985	76034	1079
986	76105	1002
987	76174	925
988	76244	848
989	76304	770
990	76369	693
991	76442	616
992	76506	539
993	76583	462
994	76657	385
995	76726	308
996	76814	231
997	76892	154
998	76968	77
999	77049	0
